!CSV A.01.01
!Agilent Technologies,E8364C,MY43040422,A.09.42.22
!Agilent E8364C: A.09.42.22
!Date: Monday, February 18, 2019 10:56:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
21077500000,0.03625061,-0.06087669,5.4434163e-010,1.6590811e-010,0.011066396,0.0206833,-0.62595814,-0.20858842
21100000000,0.035867214,-0.069667965,3.8969566e-010,-4.1252327e-010,0.015099796,0.017419551,-0.15858124,0.61569071
21122500000,0.028214596,-0.073028982,-1.9605194e-010,-5.2683941e-010,0.020297086,0.013398583,0.59454149,0.085963994
21145000000,0.023929687,-0.078586817,-5.3169424e-010,-7.3327629e-011,0.023254141,0.0074832495,0.021304473,-0.62402153
21167500000,0.02086523,-0.08050286,-3.2958072e-010,4.1730705e-010,0.025099188,0.00035973219,-0.5899626,0.084487692
21190000000,0.0075529008,-0.079641625,2.1532143e-010,5.27698e-010,0.024879228,-0.0057984241,0.036387201,0.48749316
21212500000,-0.00094146677,-0.076832488,5.868066e-010,3.3419812e-011,0.021371964,-0.014180847,0.54166394,-0.14146563
21235000000,0.00082089606,-0.074509658,2.7592584e-010,-5.0800597e-010,0.015548026,-0.019063402,-0.23467462,-0.3984212
21257500000,-0.0025283943,-0.07224261,-2.9852082e-010,-4.7334281e-010,0.010612614,-0.021651193,-0.41094083,0.12826069
21280000000,-0.0066528134,-0.065399997,-5.5972199e-010,2.1581997e-011,0.0043582218,-0.024300184,0.14366275,0.40909612
21302500000,-0.004814263,-0.070240043,-2.5080885e-010,5.1207377e-010,-0.0034872692,-0.023582008,0.36994085,-0.25214839
21325000000,-0.013313943,-0.07295277,3.3397263e-010,4.6389215e-010,-0.0087682875,-0.02124051,-0.3179107,-0.32617661
21347500000,-0.020081714,-0.077287622,5.7927563e-010,-7.8721613e-011,-0.012537527,-0.018383155,-0.31459463,0.2831701
21370000000,-0.016458249,-0.076354317,1.7946448e-010,-5.6930427e-010,-0.01814991,-0.015161139,0.32934073,0.19616541
21392500000,-0.02360872,-0.06908036,-4.2121712e-010,-3.9512107e-010,-0.020907994,-0.0099904751,0.10724573,-0.37845185
21415000000,-0.029196864,-0.067717001,-5.2811677e-010,1.7509666e-010,-0.023251092,-0.0040269941,-0.30520761,-0.028425563
