% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
1.49E10                                           -0.316851481117592+0.04774870721417162i           -0.05819355817346201-0.9115392570941042i
1.5E10                                            -0.33252312046276705+0.059661903125859284i        -0.08688232255748592-0.9031957753168355i
1.51E10                                           -0.34736124470390006+0.07243455079957405i         -0.11467407818307518-0.8937792765361124i
1.52E10                                           -0.3613813115184045+0.08598633047936587i          -0.14159418917954697-0.8833781619479308i
1.53E10                                           -0.3745650982467176+0.1002555447473882i           -0.16762939296323576-0.8720605678221318i
1.54E10                                           -0.38681896879116273+0.11515496866111388i         -0.19267897837636178-0.8599163438587012i
1.55E10                                           -0.3981784066189335+0.13063394975987344i          -0.2167878998896228-0.8470006930959347i
1.56E10                                           -0.408646066061156+0.14662404288919056i           -0.23996293303321029-0.8333888677063959i
1.57E10                                           -0.41815443999028135+0.16303954546335178i         -0.26213022196838426-0.8191674571839436i
1.58E10                                           -0.42674452821255515+0.17983562551153282i         -0.2833383374390914-0.8043854654563539i
1.59E10                                           -0.43443604181376705+0.19695743595390627i         -0.3036110588681889-0.7891031748111109i
1.6E10                                            -0.4411793352744386+0.2143189299545987i           -0.32289229846322903-0.7734066574445364i
1.61E10                                           -0.44702242435570205+0.23187531280897872i         -0.34123574637240506-0.7573455213301625i
1.62E10                                           -0.45197747618054274+0.24960622181421233i         -0.3586576131750201-0.7409406038671474i
1.63E10                                           -0.4560595291827681+0.26741877045091217i          -0.3751701316147319-0.7242902161190681i
1.64E10                                           -0.4592676235402362+0.28529446998899977i          -0.39077380257505673-0.7074112788158211i
1.65E10                                           -0.4616512704204672+0.30317388507472176i          -0.4055202998978939-0.6903692806354084i
1.66E10                                           -0.4631986750979383+0.32102676738831615i          -0.4193967490621575-0.6731923791270947i
1.67E10                                           -0.46396115860149945+0.3388041609989682i          -0.432456206765147-0.6559346053025704i
1.68E10                                           -0.463944907418195+0.35648867508425786i           -0.44470558104999575-0.6386122602625064i
1.69E10                                           -0.4631922508352214+0.3740402767426353i           -0.4561884372673182-0.6212695201533286i
1.7E10                                            -0.4617042264501838+0.39142508657427366i          -0.46690395466701223-0.6039387763439918i
1.71E10                                           -0.45952690367377486+0.40862216560786774i         -0.4769005788146589-0.5866444402558899i
1.72E10                                           -0.4566724155737701+0.4256095618873362i           -0.4861901957744489-0.5694079258003668i
1.73E10                                           -0.4531783526807563+0.44235602236474975i          -0.4948095687050816-0.5522629576512904i
1.74E10                                           -0.4490799246546875+0.45886821410668105i          -0.5027980635730103-0.5352052300738367i
1.75E10                                           -0.44435961656932776+0.47509479965276935i         -0.5101336024027673-0.5182817238932054i
1.76E10                                           -0.43907573134212985+0.49103156012909194i         -0.5168759199845736-0.5015010173307473i
1.77E10                                           -0.43325050742772797+0.5066827608174361i          -0.5230499622701472-0.4848598257796396i
1.78E10                                           -0.42690753603307396+0.5220069600652797i          -0.528675446831398-0.4683997229193997i
1.79E10                                           -0.42006657315947266+0.537023080337787i           -0.5337762434575529-0.4521024155429552i
1.8E10                                            -0.41274839737775004+0.5516960506948552i          -0.5383698183978196-0.4360025316313769i
1.81E10                                           -0.4049776307075677+0.5660328039431132i           -0.5424825899506738-0.4200940325172869i
1.82E10                                           -0.3967780365440383+0.5800247156411716i           -0.5461385976239805-0.4043866835794017i
1.83E10                                           -0.38817051874789266+0.5936570301279546i          -0.54935706109253-0.3888944681087014i
1.84E10                                           -0.3791710646050634+0.6069445665897432i           -0.5521569444551568-0.3736035002109966i
1.85E10                                           -0.36980182894630664+0.619854457601679i           -0.554556523294164-0.35854520709348436i
1.86E10                                           -0.36007853779044324+0.6324093728423252i          -0.556575222341263-0.34369821275702245i
